scenariusz,rok,ludnosc,udzial_65,dr_ekonomiczny,oadr
wysoki,2046,36241936,27.26057460065047,94.56241069275926,46.6492996107994
wysoki,2047,36144705,27.785635544680748,96.61433819519674,48.053817786298744
wysoki,2048,36046340,28.363484337106073,98.75022213488455,49.625517539303864
wysoki,2049,35946831,28.896811515874653,100.75431637492083,51.1122078481871
wysoki,2050,35846511,29.387376082431004,102.68566838923847,52.50811658170227
wysoki,2051,35744918,29.795063454894482,104.40094631364948,53.69248677213467
wysoki,2052,35641705,30.143375576448996,105.85303316345109,54.71712306316103
wysoki,2053,35539582,30.479745090980533,107.15712382324452,55.70614459935438
wysoki,2054,35435644,30.783478917442565,108.27440022353458,56.59806249230478
wysoki,2055,35332617,31.087731203154295,109.19622555781183,57.48394976547158
wysoki,2056,35225995,31.361643581678816,109.93120887163002,58.27576811864835
wysoki,2057,35118116,31.562396456575293,110.35860878890915,58.84400692381179
wysoki,2058,35011670,31.72125179975705,110.54214391435644,59.278465380686406
wysoki,2059,34904532,31.83169452035627,110.49838036798421,59.56242883518067
wysoki,2060,34796858,31.871869006103942,110.24828153336799,59.63282161942898
